PID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
24,-15.7408905,-15.448209,-14.935457,-15.105567,-14.87504,-14.936334,-16.343843,-16.305368,-13.093747,-14.508179,-15.249925,-15.540487,-12.691786,-12.835507,-13.802701,-14.274736,-14.001461,-14.496279,-13.7660675,-12.779994,-13.0962515,-14.248652,-15.362081,-13.502687,-14.644941,-15.247426,-15.870565,-15.196606,-16.757555,-14.590492,-16.142052,-16.599243,-16.494843,-15.767369,-15.163955,-15.1090765
25,-20.68217,-19.517248,-18.471113,-17.488625,-16.331686,-16.260075,-15.517818,-15.231808,-12.967905,-13.80579,-14.750683,-16.125362,-15.457752,-15.424608,-15.296819,-15.169926,-15.373752,-14.614681,-14.330114,-14.015595,-14.285183,-16.57457,-22.082735,-23.615019,-26.18698,-23.168404,-24.72032,-25.258198,-25.330864,-25.281406,-27.258745,-23.924814,-24.784952,-24.818562,-23.823107,-22.150547
26,-13.460979,-13.017927,-13.4341345,-13.22221,-12.788104,-13.434466,-13.282589,-13.098404,-12.356108,-13.369951,-13.367451,-13.660538,-12.990333,-13.04516,-13.087513,-13.367385,-13.338863,-13.5200615,-13.40892,-12.903507,-13.0667,-13.068432,-13.088342,-13.537626,-13.310574,-12.85173,-13.210459,-12.76471,-13.107365,-13.198927,-12.967844,-13.006711,-13.223913,-13.147169,-13.037344,-13.4683895
27,-13.667936,-14.168211,-15.4652405,-15.389409,-16.335548,-16.675264,-17.069147,-17.227186,-14.800626,-15.2333975,-15.617599,-16.18708,-13.4348,-13.974113,-14.561131,-14.415149,-14.999766,-14.793625,-15.648447,-14.905235,-14.966839,-15.018461,-14.92599,-15.006077,-14.38365,-14.053892,-14.493035,-14.205982,-14.637592,-14.429618,-14.240198,-13.770833,-13.018232,-12.804097,-13.034132,-14.070339
28,-15.048786,-15.348234,-15.096803,-14.993023,-14.891163,-15.187504,-14.8277645,-14.734973,-13.450182,-13.471216,-14.01032,-14.82771,-15.516706,-15.499849,-15.206495,-14.201122,-14.454796,-14.544373,-14.039496,-13.970994,-12.838551,-13.069692,-14.473822,-12.911672,-14.07632,-14.38458,-14.433341,-15.348032,-15.086112,-14.296682,-14.661889,-14.9434,-13.87089,-13.827046,-13.270704,-13.446479
29,-13.227186,-13.754886,-15.110567,-15.374926,-16.3505,-16.730198,-17.40596,-17.684557,-15.338266,-15.545792,-16.639542,-16.80724,-13.881794,-14.316457,-14.785559,-14.361581,-15.121801,-15.168668,-15.543314,-14.9192295,-16.074501,-15.617847,-15.02768,-15.24972,-14.5740185,-14.212652,-14.672113,-14.496836,-14.648032,-14.268673,-13.904957,-13.574167,-13.071814,-13.369647,-13.434238,-14.285648
30,-13.590277,-14.06839,-13.913868,-14.103233,-13.511655,-13.810823,-14.016145,-14.199516,-14.442085,-16.447472,-15.266996,-14.805908,-13.387463,-14.18293,-15.564246,-15.267815,-16.585035,-15.836775,-15.395749,-15.077957,-15.092176,-15.305899,-14.745899,-14.404476,-13.898659,-13.692376,-14.297329,-14.1938095,-14.26767,-13.931208,-14.231199,-13.576215,-13.138695,-13.573723,-13.323614,-13.449375
31,-23.531658,-20.8336,-21.43644,-20.506002,-19.198502,-17.064697,-17.017538,-15.264381,-15.863303,-15.515879,-15.296801,-13.865534,-15.664131,-19.801931,-21.200333,-21.71984,-21.484583,-21.262693,-21.212753,-20.740164,-22.415531,-23.157173,-21.248009,-22.688541,-23.064005,-21.823986,-23.283949,-23.075544,-23.478537,-22.960785,-23.355991,-21.60077,-23.661821,-22.473135,-23.067123,-23.334425
32,-14.296222,-15.000667,-16.328306,-16.798246,-17.377794,-16.84474,-17.144682,-17.074562,-15.639082,-14.801106,-15.994457,-16.255743,-15.891524,-16.29089,-14.951343,-14.742837,-14.322855,-14.05201,-13.311035,-13.216366,-12.105461,-13.238851,-14.905328,-13.165899,-14.590889,-14.792759,-13.630009,-13.769751,-16.642986,-15.706691,-16.046541,-16.730179,-15.707867,-15.124427,-14.166441,-14.406505
33,-23.0033,-20.5458,-20.705387,-20.620811,-17.597324,-18.43671,-17.657646,-16.146477,-16.503284,-15.921893,-14.972458,-13.63986,-15.624162,-19.204248,-20.376736,-21.060528,-21.586842,-20.73928,-20.86686,-19.508003,-22.122086,-22.456196,-21.384962,-22.810543,-23.641861,-22.202034,-23.417946,-23.131285,-23.647457,-23.322361,-23.731619,-22.197517,-23.028927,-23.158108,-23.425573,-23.274967
