PID,x,y
95,-2.9387164,-1.6114976
96,20.695995,35.72612
97,24.983765,-29.802288
98,27.562807,-9.295148
99,1.9279202,-17.908756
100,12.753713,11.503715
101,13.591573,28.823225
102,70.35923,10.594528
103,44.168297,9.037819
104,9.052193,26.809961
105,11.506249,28.63213
106,1.3724631,-22.878744
107,70.9068,13.392152
108,25.303186,-8.202964
109,12.92681,36.957233
110,28.85991,-7.7309856
111,73.780815,0.6939828
112,13.034413,-16.348587
113,70.911476,11.575861
114,46.203316,11.606921
115,30.917013,-13.882878
116,72.02375,10.463037
117,74.52608,-0.64623314
118,71.204666,13.044161
119,74.92044,-2.3888009
120,9.50061,-16.012894
121,52.1042,17.994478
122,22.949907,-8.638695
123,71.59861,13.462767
124,29.428637,-12.165967
125,28.270323,-21.687033
126,6.932551,-8.646913
127,-3.292651,-0.6222859
128,9.05807,27.516132
129,25.775229,-29.809715
130,-73.92404,1.5992453
131,19.600744,-4.1365004
132,-1.5602739,-2.5624208
133,68.64989,2.7700658
134,10.321101,29.867985
135,25.81751,-29.830286
136,75.68639,4.762059
137,-0.028926885,-22.528048
138,52.028732,17.47086
139,-24.58955,-15.823018
140,28.642471,-11.649825
141,70.87965,14.059685
142,5.6201572,12.3778305
143,70.984276,11.9530325
144,17.830269,-30.80398
145,-24.190842,-8.72582
146,72.18848,5.2798057
147,71.45033,7.8442245
148,74.29536,-7.043637
149,17.235155,12.218575
150,27.793232,-7.2631173
151,25.799343,-29.910095
152,31.608658,-14.915299
153,4.8652506,-21.493408
154,25.806314,-29.813965
155,51.628914,16.776365
156,67.55362,-9.316215
157,-0.81508285,-22.527443
158,51.94865,16.915195
159,-5.2138553,-20.049389
160,46.667652,15.272598
161,71.66247,13.758128
162,70.388855,5.24503
163,70.12596,10.432297
164,7.8130183,-3.9820902
165,12.471293,29.035475
166,6.6548047,12.943837
167,10.970603,9.942414
168,14.216406,31.314236
169,17.523634,35.684517
170,11.27748,28.265808
171,21.783785,-25.34393
172,3.8377142,-19.09714
173,17.750433,-30.626543
174,33.28007,-15.984115
175,11.849211,31.643593
176,0.05280517,-9.809121
177,14.5554905,31.930458
178,67.14842,7.0619326
179,5.0984306,14.915231
180,10.231335,29.43706
181,-8.945387,-6.3638196
182,9.401821,-7.5553293
183,52.39302,17.483418
184,4.674697,12.474107
185,-96.30747,-7.470026
186,26.786652,-18.630035
187,-98.61647,-9.133253
188,59.76403,-10.363517
189,17.7017,34.36821
190,16.279507,12.955619
191,62.106934,-9.910819
192,3.061359,-5.6696362
193,31.851713,-13.603963
194,49.988804,14.992735
195,-33.024605,1.3697699
196,32.40621,-15.712436
197,-9.106297,-9.487577
198,71.81197,8.251921
199,-38.11319,-12.524627
200,29.745846,-17.189312
201,67.34763,7.185122
202,-28.741161,-15.329741
203,-46.1165,-11.487103
204,30.005245,-16.964981
205,-19.62008,-0.51910084
206,17.637512,33.77481
207,71.51507,-2.7797432
208,71.50175,7.09396
209,30.53546,-16.792347
210,10.789197,27.940718
211,70.47029,8.783109
212,13.852469,32.96021
213,67.610214,-8.792302
214,26.778978,-18.46343
215,33.311394,-15.898215
216,71.78877,9.866812
217,15.034632,35.731033
218,11.554451,29.782219
219,59.499607,-15.375849
220,71.170586,10.132275
221,30.390541,-15.795988
222,76.96289,2.6177936
223,16.039518,11.588046
224,-22.976242,-0.20956379
225,-30.66047,-3.2996087
226,8.175658,-6.65551
227,32.352318,-15.05847
228,-15.364108,21.567104
229,12.831297,12.548998
230,13.2229,34.571297
231,-73.29841,1.8909626
232,-61.26711,0.43685567
233,1.2672918,10.91981
234,71.0293,12.401548
235,15.464596,37.138084
236,58.144768,-15.851201
237,66.3269,-19.229712
238,-15.466451,4.942186
239,67.62433,-8.977678
240,63.949837,-3.1550426
241,48.6411,-10.27638
242,13.8233,-7.602129
243,64.43011,-2.5900204
244,17.402718,34.465183
245,72.811676,6.2165213
246,13.008166,-7.7514305
247,15.495448,-37.417263
248,20.626501,36.152004
249,71.55658,10.950234
250,71.09271,8.815678
251,32.646072,-15.750064
252,-15.071099,-11.786975
253,10.99946,29.155823
254,31.96087,-16.650827
255,12.635834,34.305424
256,-24.346416,-9.540246
257,15.916621,13.898676
258,10.172363,27.774153
259,61.003395,-10.459381
260,17.506294,34.11575
261,9.637991,26.153542
262,43.576283,9.190008
263,17.565962,35.58689
264,71.286095,9.198538
265,70.76815,11.386443
266,70.28415,10.964155
267,51.412354,15.252958
268,71.338844,13.691425
269,56.06673,-11.299755
270,11.296534,29.713282
271,-13.373444,-0.19168648
272,14.872396,32.634777
273,73.632774,-0.68324983
274,15.493998,36.679142
275,11.30844,31.012821
276,-29.653456,-1.4907788
277,16.850105,35.878178
278,11.564019,12.3522835
279,12.212918,12.518001
280,9.788134,28.296646
281,-45.048336,-14.521185
282,14.520391,33.225933
283,4.1459427,12.09791
284,8.876934,24.491856
285,11.640287,20.342892
286,15.841888,37.7454
287,-35.05264,3.0068657
288,16.73211,12.490774
289,-91.10182,-4.5668073
290,72.14802,12.202587
291,-15.529557,3.133902
292,9.576202,25.313751
293,52.581085,17.559412
294,16.036318,37.156013
295,4.887605,13.976476
296,15.943906,37.624264
297,70.77864,12.564777
298,22.689669,22.980415
299,62.545834,-7.2623525
300,70.4429,10.156041
301,15.200907,-37.471478
302,73.513565,5.9082994
303,69.91788,10.0989685
304,32.002132,-14.926248
305,-13.548465,-9.779818
306,0.89715856,-0.74670625
307,11.369279,29.154215
308,71.3536,7.0169067
309,71.55592,9.792459
310,11.463932,28.045336
311,15.167109,36.110325
312,71.57604,11.380128
313,-25.903568,-12.09637
314,71.43395,12.721639
315,71.674255,12.469969
316,67.68257,2.31108
317,71.17756,10.480008
318,71.33009,14.104537
319,14.263506,37.53551
320,-78.39177,-10.273429
321,69.82491,9.192622
322,28.161398,-14.293891
323,72.73472,3.4743433
324,49.088196,13.140543
325,-26.520414,4.097797
326,18.333344,11.780108
327,72.13019,6.421768
328,64.12765,-3.7905567
329,19.05923,11.519359
330,30.312418,-16.993645
331,2.7549078,12.418632
332,11.100213,31.554527
333,71.96715,12.142487
334,62.85332,-7.035191
335,15.422844,12.450576
336,72.54407,7.5832977
337,-39.815083,-0.6887232
338,10.735561,15.5667925
339,-12.133268,-8.289861
340,-48.773224,3.020894
341,26.007004,-29.521086
342,13.65528,-31.46442
343,73.96169,-4.4355283
344,19.00565,12.126965
345,74.18497,-4.4362807
346,33.5936,-16.0677
347,33.47169,-17.62029
348,43.9009,-10.581049
349,-37.109013,4.6427426
350,5.5876656,-22.888714
351,70.83116,10.980987
352,-42.66685,-10.437839
353,70.88652,9.935767
354,-22.614124,-8.361158
355,72.17493,4.4073114
356,71.41099,11.943085
357,64.2664,-4.5819483
358,10.07559,23.765657
359,12.224063,12.56494
360,8.76606,22.575367
361,-38.107117,4.095961
362,73.643364,5.802058
363,7.7113385,-5.334999
364,5.616098,-2.3298018
365,-10.560921,4.197914
366,-34.677288,1.3101072
367,22.482332,-7.7845054
368,28.328114,-17.585493
369,-2.6129775,10.235169
370,-10.865451,3.9327223
371,71.56948,12.058538
372,50.912083,15.561174
373,74.27029,5.456794
374,27.366007,-18.03467
375,12.320292,-15.805095
376,2.161499,-13.837402
377,7.3438807,-3.6173565
378,33.738823,-16.240286
379,71.35978,10.298386
380,53.118305,18.001514
381,11.170052,38.809795
382,34.22324,-19.264908
383,10.167322,13.114187
384,12.119716,12.626842
385,18.778574,11.686414
386,50.794483,18.203106
387,9.725035,28.109447
388,12.890589,32.745953
389,12.464936,29.635696
390,33.081356,-17.13236
391,18.659595,-22.806087
392,21.883017,-8.453467
393,8.353606,27.420652
394,70.85508,9.646619
395,-81.89581,-8.343731
396,9.694805,28.680632
397,14.4814625,33.490513
398,62.15204,-3.8730824
399,14.617788,35.96777
400,14.493469,37.315712
401,71.2723,10.891059
402,15.420855,24.711615
403,15.017274,36.287254
404,16.110884,37.121426
405,-72.53059,0.7686641
406,31.920708,-14.801484
407,44.537605,12.209657
408,52.788834,19.145468
409,-48.620018,-1.4868526
